iter	Logloss
0	0.6870373501
1	0.6802282441
2	0.673866572
3	0.6677661853
4	0.6626316028
5	0.6567516541
6	0.6512725487
7	0.6456233678
8	0.6402983933
9	0.6351999433
10	0.6301892741
11	0.6253029898
12	0.6199236238
13	0.615630332
14	0.6119097592
15	0.6073336226
16	0.602841238
17	0.5985806069
18	0.594430902
19	0.5903955095
20	0.5876256964
21	0.5849173471
22	0.5812593524
23	0.5771919851
24	0.5734594967
25	0.5697782709
26	0.5664195371
27	0.5644048198
28	0.5608235906
29	0.5573373002
30	0.5536911782
31	0.5508337128
32	0.5476446688
33	0.5444042763
34	0.5421389891
35	0.5389531168
36	0.535255775
37	0.5327551338
38	0.5299471737
39	0.5273094606
40	0.5245862811
41	0.5214342696
42	0.5186208232
43	0.5157234963
44	0.5130768251
45	0.5109793845
46	0.5092313959
47	0.5064650118
48	0.5043069647
49	0.5018912755
50	0.4996706502
51	0.4975113601
52	0.4953769727
53	0.4932685595
54	0.4912429124
55	0.4893537371
56	0.487378324
57	0.4859183665
58	0.4837459607
59	0.482064065
60	0.4797556588
61	0.4777332692
62	0.4759854092
63	0.4738716811
64	0.4720926178
65	0.4705821691
66	0.468799291
67	0.4674757197
68	0.4666298856
69	0.4651172938
70	0.4632667799
71	0.4617080688
72	0.4599226619
73	0.4584540892
74	0.4566936279
75	0.4552429714
76	0.4536684015
77	0.4519564168
78	0.450906775
79	0.4497250332
80	0.4483793452
81	0.446958049
82	0.4457483184
83	0.4445204145
84	0.4432074729
85	0.4419447652
86	0.4408804647
87	0.4398760421
88	0.4385332686
89	0.4370715966
90	0.4360260267
91	0.4350460781
92	0.4342463204
93	0.4332304965
94	0.4320604989
95	0.431029802
96	0.4300461244
97	0.4292591395
98	0.4281338038
99	0.4273432185
100	0.4262398709
101	0.4254941619
102	0.4246490993
103	0.4241129843
104	0.4229665606
105	0.4219896981
106	0.4210437389
107	0.4200487458
108	0.4188880063
109	0.418171529
110	0.4173388535
111	0.4166935267
112	0.4163770354
113	0.4156027376
114	0.4147455451
115	0.4140387546
116	0.4131175266
117	0.412143793
118	0.4118630056
119	0.4114803357
120	0.4106922793
121	0.4101358907
122	0.4097180742
123	0.4088811982
124	0.4082934776
125	0.407435385
126	0.4070090819
127	0.4062802604
128	0.405803809
129	0.4051267645
130	0.4044740655
131	0.4037560452
132	0.4031925844
133	0.4026946593
134	0.4021414853
135	0.4016882221
136	0.4012073988
137	0.40070223
138	0.4000394157
139	0.3994348076
140	0.399004004
141	0.3983494191
142	0.3976829615
143	0.3972038526
144	0.3966378201
145	0.3960986191
146	0.3957024049
147	0.3955319865
148	0.3952728443
149	0.3947640751
150	0.3942607494
151	0.3935513014
152	0.3929807256
153	0.3924131501
154	0.3920609978
155	0.3916756705
156	0.3910345013
157	0.390694779
158	0.3901185025
159	0.3898918066
160	0.389386895
161	0.3892581382
162	0.3887881161
163	0.3880474648
164	0.3876219332
165	0.3869486605
166	0.3863800992
167	0.3862029086
168	0.3858217818
169	0.3852532633
170	0.3846234954
171	0.3844578347
172	0.3842349106
173	0.3838647564
174	0.3833274413
175	0.3832001418
176	0.3826308518
177	0.3822285084
178	0.3821104243
179	0.3816854498
180	0.3814436666
181	0.3810405088
182	0.3807652506
183	0.3805294251
184	0.3803507773
185	0.3801211239
186	0.3797713719
187	0.3792120687
188	0.3787018851
189	0.378447972
190	0.378066888
191	0.3777893581
192	0.3773910865
193	0.3770117599
194	0.3768084665
195	0.3764365978
196	0.3760193814
