iter	Passed	Remaining
0	1	1959
1	2	1317
2	4	1341
3	4	1225
4	5	1178
5	6	1106
6	7	1122
7	9	1118
8	9	1079
9	10	1067
10	11	1054
11	12	1035
12	13	1017
13	14	989
14	14	952
15	15	954
16	16	969
17	17	980
18	18	977
19	19	962
20	20	941
21	20	919
22	21	906
23	21	894
24	22	884
25	23	874
26	24	865
27	24	848
28	25	845
29	26	841
30	26	837
31	27	824
32	28	825
33	29	824
34	29	815
35	30	809
36	30	806
37	31	798
38	32	793
39	33	796
40	33	791
41	34	791
42	35	787
43	36	784
44	36	779
45	37	772
46	37	767
47	38	766
48	39	764
49	40	761
50	40	759
51	41	757
52	42	756
53	43	755
54	43	752
55	44	747
56	45	744
57	45	738
58	46	737
59	47	737
60	47	735
61	48	732
62	49	731
63	49	729
64	50	727
65	51	722
66	51	719
67	52	716
68	52	710
69	53	709
70	54	709
71	55	709
72	55	708
73	56	707
74	57	708
75	58	706
76	58	704
77	59	703
78	59	699
79	60	699
80	61	697
81	62	701
82	63	699
83	64	698
84	64	696
85	65	694
86	66	692
87	66	690
88	67	688
89	67	686
90	68	687
91	69	686
92	70	683
93	70	682
94	71	682
95	72	683
96	73	683
97	74	682
98	74	682
99	75	681
100	76	682
101	77	680
102	78	679
103	78	678
104	79	676
105	80	675
106	80	674
107	81	673
108	82	672
109	83	673
110	84	673
111	84	673
112	85	670
113	86	670
114	87	670
115	87	670
116	88	669
117	89	669
118	90	666
119	90	666
120	91	667
121	92	666
122	93	664
123	93	663
124	94	662
125	95	661
126	96	660
127	96	659
128	97	657
129	98	657
130	99	658
131	100	657
132	100	657
133	101	658
134	102	658
135	103	657
136	104	657
137	105	656
138	106	656
139	107	657
140	107	656
141	108	656
142	109	655
143	110	654
144	110	653
145	111	652
146	112	651
147	112	649
148	113	648
149	114	647
150	115	646
151	115	645
152	116	644
153	117	643
154	117	643
155	118	642
156	119	641
157	120	640
158	121	640
159	121	638
160	122	638
161	123	636
162	123	635
163	124	634
164	125	633
165	125	631
166	126	630
167	127	629
168	128	629
169	128	629
170	129	628
171	130	625
172	130	624
173	131	624
174	133	627
175	133	626
176	134	626
177	135	627
178	136	624
179	137	624
180	137	623
181	138	622
182	139	621
183	139	620
184	140	618
185	141	617
186	141	616
187	142	616
188	143	615
189	143	613
190	144	612
191	145	611
192	146	611
193	146	609
194	147	607
195	147	607
196	148	605
197	149	605
198	150	604
199	150	603
200	151	602
201	152	601
202	153	600
203	153	600
204	154	599
205	155	599
206	156	599
207	156	597
208	157	597
209	158	596
210	159	595
211	160	594
212	160	593
213	161	592
214	162	591
215	162	591
216	163	590
217	164	589
218	165	588
219	165	588
220	166	587
221	167	587
222	168	586
223	169	586
224	170	585
225	170	585
226	171	585
227	172	585
228	173	585
229	174	585
230	175	584
231	176	582
232	176	582
233	177	581
234	178	580
235	179	581
236	180	580
237	181	580
238	182	579
239	182	579
240	183	578
241	184	577
242	185	576
243	185	574
244	185	572
245	186	572
246	187	572
247	188	571
248	189	571
249	190	570
250	190	569
251	191	569
252	193	571
253	194	572
254	196	574
255	197	573
256	198	572
257	198	571
258	199	571
259	200	570
260	201	569
261	202	569
262	203	569
263	204	569
264	205	568
265	206	569
266	207	569
267	208	569
268	209	568
269	210	568
270	210	567
271	211	566
272	212	565
273	213	564
274	213	563
275	214	562
276	215	561
277	216	561
278	217	561
279	217	560
280	218	560
281	219	558
282	220	559
283	221	559
284	222	558
285	223	558
286	224	557
287	225	556
288	225	555
289	226	554
290	227	554
291	228	553
292	228	552
293	229	551
294	230	550
295	231	549
296	231	549
297	232	548
298	233	547
299	234	546
300	234	545
301	235	544
302	236	543
303	236	542
304	237	542
305	238	541
306	239	541
307	240	540
308	241	539
309	242	538
310	242	537
311	243	536
312	244	536
313	245	535
314	246	535
315	247	534
316	247	534
317	249	536
318	251	536
319	252	536
320	253	535
321	254	535
322	255	535
